RxDevice,FileID,TxDevice,GenTime,FileMsgCount,GpsEpochTime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,CountPathPoints,RadiusOfCurve,Confidence,EventFlag,SemiMajor,SemiMinor,Orientation,SteerAngle,TransState,WhlBrkUnkn,WhlBrkLF,WhlBrkLR,WhlBrkRF,WhlBrkRR,Width,Length,EtcActive,AbsActive,EscActive,BrakeBstActive,AuxBrakesActive
1000,56,3000,606553296577354,1,1679468496.577354,40542,4,36600,17.6017467,78.126553299999998,459.20001,3.9999999E-2,4.0999999,-5.9999999E-2,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553296678556,2,1679468496.678556,40542,5,36749,17.601746800000001,78.126553299999998,459.20001,3.9999999E-2,4.0999999,-5.0000001E-2,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553296783929,3,1679468496.7839291,40542,6,36850,17.601746800000001,78.126553299999998,459.20001,3.9999999E-2,4.0999999,-5.0000001E-2,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553296883052,4,1679468496.8830521,40542,7,36949,17.6017467,78.126553299999998,459.20001,3.9999999E-2,4.0999999,9.9999998E-3,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553296980768,5,1679468496.980768,40542,8,37049,17.6017467,78.126553299999998,459.20001,3.9999999E-2,4.0999999,9.9999998E-3,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297078921,6,1679468497.0789211,40542,9,37149,17.601746800000001,78.126553299999998,459.20001,3.9999999E-2,4.0999999,9.9999998E-3,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297187216,7,1679468497.187216,40542,10,37249,17.601746800000001,78.126553299999998,459.20001,3.9999999E-2,4.0999999,9.9999998E-3,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297283932,8,1679468497.283932,40542,11,37350,17.6017464,78.126553299999998,459.20001,0.02,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297385564,9,1679468497.3855641,40542,12,37449,17.6017464,78.126553299999998,459.20001,0.02,4.0999999,-9.9999998E-3,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297480763,10,1679468497.480763,40542,13,37499,17.6017464,78.126553299999998,459.20001,0.02,4.0999999,-9.9999998E-3,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297580576,11,1679468497.5805769,40542,14,37600,17.6017464,78.126553299999998,459.20001,0.02,4.0999999,-9.9999998E-3,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297676810,12,1679468497.67681,40542,15,37750,17.601746500000001,78.126553299999998,459.20001,0.02,4.0999999,-9.9999998E-3,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297778817,13,1679468497.7788169,40542,16,37850,17.601746500000001,78.126553299999998,459.20001,0.02,4.0999999,-9.9999998E-3,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297878707,14,1679468497.8787079,40542,17,37899,17.601746299999999,78.126553299999998,459.20001,0,4.0999999,-3.9999999E-2,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553297979813,15,1679468497.9798131,40542,18,37999,17.601746299999999,78.126553299999998,459.20001,0,4.0999999,-3.9999999E-2,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
1000,56,3000,606553298075705,16,1679468498.0757051,40542,19,38149,17.601746299999999,78.126553299999998,459.20001,0,4.0999999,-2.9999999E-2,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
