RxDevice,FileID,TxDevice,GenTime,FileMsgCount,GpsEpochTime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,CountPathPoints,RadiusOfCurve,Confidence,EventFlag,SemiMajor,SemiMinor,Orientation,SteerAngle,TransState,WhlBrkUnkn,WhlBrkLF,WhlBrkLR,WhlBrkRF,WhlBrkRR,Width,Length,EtcActive,AbsActive,EscActive,BrakeBstActive,AuxBrakesActive
3000,55,3000,606553150209345,18,1679468350.2093451,40542,78,10250,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553150307122,19,1679468350.307122,40542,79,10350,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553150410231,20,1679468350.4102311,40542,80,10449,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553150515063,21,1679468350.515063,40542,81,10550,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553150611921,22,1679468350.6119211,40542,82,10649,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553150710880,23,1679468350.71088,40542,83,10750,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553150811999,24,1679468350.8119991,40542,84,10850,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553150907018,25,1679468350.9070189,40542,85,10949,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553151002973,26,1679468351.0029731,40542,86,11050,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553151099963,27,1679468351.0999629,40542,87,11149,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
